개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자
3220000,PHMA220133220033021200003,2013.4.10,,01,영업/정상,13,영업중,,,,,02-568-2879,166.27,,,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",06349,기쁨정원치과병원,2023.10.16 15:11,U,2022.10.30 23:08,치과병원,208937.7607,442873.588,,,,,,,,,,,,,,,,
3240000,PHMA220063240033021200003,2006.2.27,,01,영업/정상,13,영업중,,,,,02-440-7114,3419.46,,,서울특별시 강동구 동남로 892 (상일동),05278,강동경희대학교한방병원,2024.4.17 13:25,U,2023.12.3 23:09,한방병원,213839.3562,450118.2617,,,,,,,,,,,,,,,,
3090000,PHMA220163090033021200001,2016.6.29,,01,영업/정상,13,영업중,,,,,02-2039-5099,1160.29,,서울특별시 도봉구 쌍문동 503-8 2~5층,"서울특별시 도봉구 삼양로 574, 2~5층 (쌍문동)",01368,서울사랑요양병원,2024.4.19 11:28,U,2023.12.3 22:01,요양병원(일반요양병원),201098.7614,461327.6266,,,,,,,,,,,,,,,,
3230000,PHMA219983230034021201568,1998.3.30,,01,영업/정상,13,영업중,,,,,02-2147-6000,5419.71,,서울특별시 송파구 석촌동 174번지 13호 한솔병원,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)",05616,한솔병원,2024.4.5 11:22,U,2023.12.4 0:07,병원,209295.3681,444879.1156,,,,,,,,,,,,,,,,
3210000,PHMA220133210034021200001,2013.1.17,,01,영업/정상,13,영업중,,,,,0234743653,2682.35,,서울특별시 서초구 서초동 1657-1 서울365mc병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",06634,365엠씨(mc)병원,2024.3.6 10:33,U,2023.12.3 0:09,병원,201178.6533,443421.1765,,,,,,,,,,,,,,,,
3080000,PHMA220203080033021200001,2020.3.11,,01,영업/정상,13,영업중,,,,,02-986-0334,1693.45,,"서울특별시 강북구 미아동 304번지 3호 지하1층, 2층~5층","서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",01170,강북으뜸병원,2024.3.20 9:31,U,2023.12.2 22:02,병원,202240.8551,458118.7096,,,,,,,,,,,,,,,,
3220000,PHMA220033220033021200003,2003.9.16,,01,영업/정상,13,영업중,,,,,02-6003-9718,,,서울특별시 강남구 논현동 63-8 나누리병원,"서울특별시 강남구 언주로 731, 나누리병원 (논현동)",06048,나누리병원,2023.5.22 15:33,U,2022.12.4 22:04,병원,202937.1468,446451.613,,,,,,,,,,,,,,,,
3220000,PHMA220183220033021200005,2018.9.14,,01,영업/정상,13,영업중,,,,,02-6985-4119,3609.1,,서울특별시 강남구 논현동 218-11 강남웨딩홀,"서울특별시 강남구 언주로 631, 강남웨딩홀 지하2,2~6층 (논현동)",06106,강남지인병원,2023.10.11 17:24,U,2022.10.30 23:03,병원,203030.3616,445624.9276,,,,,,,,,,,,,,,,
3230000,PHMA220233230034021200001,2023.10.5,,01,영업/정상,13,영업중,,,,,1811-6235,2433.45,,서울특별시 송파구 풍납동 269-3 지하1~지상5층,"서울특별시 송파구 토성로 20, 다보라 지하1~5층 (풍납동)",05535,동행한방병원,2024.4.5 11:22,U,2023.12.4 0:07,한방병원,209893.622,447594.3554,,,,,,,,,,,,,,,,
3210000,PHMA220123210034021200001,2012.7.24,,01,영업/정상,13,영업중,,,,,0215880831,2313.2,137-888,"서울특별시 서초구 양재동 20번지 7호 /양재동 20-4, 2층/양재동 20-20(지1~3층)",서울특별시 서초구 바우뫼로35길 32 (양재동),06744,참포도나무병원,2023.12.6 9:54,U,2022.11.2 0:08,병원,203350.547,441971.9406,,,,,,,,,,,,,,,,
3180000,PHMA220053180034021200007,2006.12.1,,01,영업/정상,13,영업중,,,,,02-2634-7000,3554.79,,,서울특별시 영등포구 양평로22사길 9 (양평동5가),07203,서울은빛요양병원,2024.4.4 18:04,U,2023.12.4 0:06,요양병원(일반요양병원),190648.4108,448737.3522,,,,,,,,,,,,,,,,
3050000,PHMA220233050034021200001,2023.3.23,,01,영업/정상,13,영업중,,,,,02-6674-7575,4912.79,,서울특별시 동대문구 신설동 76-34,"서울특별시 동대문구 한빛로 12, 지하1층 ~ 4층 (신설동)",02580,더드림요양병원,2024.4.17 17:42,U,2023.12.3 23:09,요양병원(일반요양병원),202132.9611,452712.6451,,,,,,,,,,,,,,,,
3210000,PHMA220243210034021200001,2013.1.25,,01,영업/정상,13,영업중,,,,,02-1899-3210,7195.75,,서울특별시 서초구 서초동 1604-20 GL(지엘)빌딩,"서울특별시 서초구 효령로 331, GL(지엘)빌딩 (서초동)",06643,서울안강병원,2024.4.22 17:39,U,2023.12.3 22:04,병원,201728.6026,442694.6991,,,,,,,,,,,,,,,,
3080000,PHMA220203080033021200002,2020.8.28,,01,영업/정상,13,영업중,,,,,02-1670-8875,2643.3,,서울특별시 강북구 미아동 62-38 서울유병원BK빌딩,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",01205,서울유병원,2024.3.20 9:32,U,2023.12.2 22:02,병원,202541.0708,457081.2606,,,,,,,,,,,,,,,,
3220000,PHMA219993220033021200002,1999.6.21,,01,영업/정상,13,영업중,,,,,02-1577-0007,8227.67,,서울특별시 강남구 논현동 142-3 자생한방병원,"서울특별시 강남구 강남대로 536, 자생한방병원 (논현동)",06110,자생한방병원,2024.4.4 15:10,U,2023.12.4 0:06,한방병원,201903.35,445314.635,,,,,,,,,,,,,,,,
3240000,PHMA220233240033021200002,2023.3.24,,01,영업/정상,13,영업중,,,,,02-474-8575,1718.72,,,"서울특별시 강동구 천호대로 1133, 서울M타워 5,8,9,10층 (길동)",05355,강동기운찬한방병원,2024.4.5 17:32,U,2023.12.4 0:07,한방병원,212084.0385,448058.4442,,,,,,,,,,,,,,,,
3240000,PHMA220063240033021200001,2006.2.27,,01,영업/정상,13,영업중,,,,,02-440-7114,1100.98,134-727,서울특별시 강동구 상일제1동 149번지,서울특별시 강동구 동남로 892 (상일제1동),05278,강동경희대학교치과병원,2024.3.28 11:06,U,2023.12.2 21:00,치과병원,213839.3562,450118.2617,,,,,,,,,,,,,,,,
3210000,PHMA220193210034021200002,2010.8.16,,01,영업/정상,13,영업중,,,,,02-526-0821,4661.03,,서울특별시 서초구 서초동 1677번지 8호 프로비스타,"서울특별시 서초구 서초대로 338, 프로비스타 지하1층 지상2~8층 (서초동)",06632,모커리한방병원,2024.4.18 16:50,U,2023.12.3 22:00,한방병원,201577.6533,443623.6,,,,,,,,,,,,,,,,
3240000,PHMA220193240033021200001,2019.1.24,,01,영업/정상,13,영업중,,,,,02-1899-5868,4025.06,,"서울특별시 강동구 성내동 452 지하3, 지하1 일부, 1~5층","서울특별시 강동구 강동대로 143-52, 지하3, 지하1 일부, 1~5층 (성내동)",05398,포레스트한방병원,2024.3.4 9:38,U,2023.12.3 0:06,한방병원,210587.4886,447299.2299,,,,,,,,,,,,,,,,
3210000,PHMA220083210034021200001,2008.4.1,,01,영업/정상,13,영업중,,,,,02-2046-5201,9304.57,,서울특별시 서초구 방배동 488-6 지하4층~지상6층,"서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)",06702,연세사랑병원,2024.3.6 10:07,U,2023.12.3 0:09,병원,199356.2756,441326.1932,,,,,,,,,,,,,,,,
3100000,PHMA220223100034021200001,2022.2.24,,01,영업/정상,13,영업중,,,,,1533-7585,1705,,,"서울특별시 노원구 동일로 987, 태릉마이크로병원건물 2,5,6,7층 (공릉동)",01861,모아한방병원,2024.4.12 10:41,U,2023.12.3 23:04,한방병원,206551.607,457326.7229,,,,,,,,,,,,,,,,
3240000,PHMA220103240033021200003,2010.11.17,,03,폐업,03,폐업,2023.11.19,,,,02-441-0011,2796.55,,,"서울특별시 강동구 올림픽로98길 8 (암사동, 동부센트럴요양병원)",05264,동부센트럴요양병원,2023.11.17 18:04,U,2022.10.31 23:09,요양병원(일반요양병원),211281.6303,449888.0745,,,,,,,,,,,,,,,,
3140000,PHMA219973140033021200001,1997.12.15,,01,영업/정상,13,영업중,,,,,6200-8801,1336.9,158-857,서울특별시 양천구 신정동 907번지 12호,서울특별시 양천구 오목로 199 (신정동),07945,목동예치과병원,2024.4.15 13:31,U,2023.12.3 23:07,치과병원,187522.739,447059.72,,,,,,,,,,,,,,,,
3240000,PHMA220073240033021200002,2007.4.10,,01,영업/정상,13,영업중,,,,,02-488-0020,8143.99,,서울특별시 강동구 천호동 362번지 3호 로뎀빌딩,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)",05324,강동성모요양병원,2024.4.5 17:32,U,2023.12.4 0:07,요양병원(일반요양병원),211171.4675,449037.2952,,,,,,,,,,,,,,,,
3200000,PHMA220143200033021200002,2014.9.5,,01,영업/정상,13,영업중,,,,,888-8866,,,"서울특별시 관악구 신림동 1421번지 55호 지1층, 2~11층","서울특별시 관악구 신림로64길 11, 지1층,2~11층 (신림동, 성재빌딩)",08754,강남수요양병원,2023.3.30 14:34,U,2022.12.4 0:01,요양병원(일반요양병원),193779.1051,442553.5288,,,,,,,,,,,,,,,,
3090000,PHMA220083090033021200002,2008.1.31,,01,영업/정상,13,영업중,,,,,02-900-2000,5097,,,서울특별시 도봉구 도봉로 604 (창동),01401,에이치큐브병원,2024.4.19 11:37,U,2023.12.3 22:01,병원,203556.6616,461771.0544,,,,,,,,,,,,,,,,
3230000,PHMA220053230034021201563,2005.10.20,,01,영업/정상,13,영업중,,,,,02-2203-6100,1713.49,,,서울특별시 송파구 오금로 173 (방이동),05641,포레힐요양병원,2023.12.15 10:22,U,2022.11.1 23:07,요양병원(일반요양병원),209993.6502,445282.21,,,,,,,,,,,,,,,,
3220000,PHMA220233220033021200002,2023.9.27,,01,영업/정상,13,영업중,,,,,02-1600-2959,2783.69,,서울특별시 강남구 논현동 94-22 카로시티Ⅲ,"서울특별시 강남구 선릉로 751, 카로시티Ⅲ 지하1층, 지상1층~7층 (논현동)",06055,모두가행복한연세병원,2023.12.11 17:49,U,2022.11.1 23:03,병원,203388.0514,446619.5865,,,,,,,,,,,,,,,,
3230000,PHMA220143230034021200005,2014.11.17,,01,영업/정상,13,영업중,,,,,02-487-8275,,,,"서울특별시 송파구 올림픽로 319, 2층 (신천동, 서울시교통회관건물)",05510,케이치과병원,2023.6.14 15:02,U,2022.12.5 23:06,치과병원,209243.1693,445935.0925,,,,,,,,,,,,,,,,
3080000,PHMA220123080033021200001,2012.10.12,,01,영업/정상,13,영업중,,,,,02-6222-1000,5381.78,142-878,서울특별시 강북구 수유동 188번지 1호 광산타워,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",01070,강북우리들병원,2024.3.20 9:33,U,2023.12.2 22:02,병원,201930.77,460020.9817,,,,,,,,,,,,,,,,
3210000,PHMA219983210034021200001,1998.3.26,,01,영업/정상,13,영업중,,,,,02-586-5557,,137-841,서울특별시 서초구 방배1동 896번지 1호,서울특별시 서초구 서초대로 116 (방배동),06664,의료법인 청해의료재단 제일병원,2023.6.12 16:54,U,2022.12.5 23:04,병원,199494.842,442848.134,,,,,,,,,,,,,,,,
3100000,PHMA219953100034021200001,1995.1.14,,01,영업/정상,13,영업중,,,,,02-970-8000,64341.22,,,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",01830,노원을지대학교병원,2024.1.22 11:34,U,2023.11.30 22:04,종합병원,206102.456,459346.7697,,,,,,,,,,,,,,,,
3060000,PHMA220053060034021200006,2005.3.29,,01,영업/정상,13,영업중,,,,,02-975-7500,534.44,,,서울특별시 중랑구 공릉로 76 (묵동),02019,의료법인한국의료재단프라임병원,2024.2.23 10:35,U,2023.12.1 22:05,병원,206946.6754,457213.2104,,,,,,,,,,,,,,,,
3240000,PHMA220223240033021200001,2022.12.23,,01,영업/정상,13,영업중,,,,,02-452-7075,937.46,,"서울특별시 강동구 천호동 401-5 5층일부,6~7층","서울특별시 강동구 구천면로 233, 5층일부,6~7층 (천호동)",05326,경희디에스한방병원,2024.1.23 13:32,U,2023.11.30 22:05,한방병원,211411.3199,448830.9485,,,,,,,,,,,,,,,,
3090000,PHMA220053090033021200002,2005.5.16,,01,영업/정상,13,영업중,,,,,02-1666-5853,7852.95,,서울특별시 도봉구 창동 749번지 10호,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)",01397,바로선병원,2024.4.19 11:49,U,2023.12.3 22:01,병원,203650.128,461998.9089,,,,,,,,,,,,,,,,
3080000,PHMA220083080033021200001,2008.4.14,,01,영업/정상,13,영업중,,,,,02-982-3114,1862.79,,서울특별시 강북구 미아동 317번지 3호 서울민병원,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)",01171,민병원,2024.3.20 9:34,U,2023.12.2 22:02,병원,202337.1484,457806.8191,,,,,,,,,,,,,,,,
3210000,PHMA219893210034021200001,1989.8.14,,01,영업/정상,13,영업중,,,,,02-536-5599,1170.89,137-835,서울특별시 서초구 방배동 837번지 13호,서울특별시 서초구 방배로 186 (방배동),06586,재단법인 동국한방병원,2024.3.25 13:24,U,2023.12.2 22:07,한방병원,199257.012,443119.872,,,,,,,,,,,,,,,,
3240000,PHMA220043240033021200003,2004.9.2,,01,영업/정상,13,영업중,,,,,02-477-9661,1334.99,,서울특별시 강동구 성내동 551번지 3호 인애가한방병원,"서울특별시 강동구 성내로6길 15, 인애가한방병원 (성내동)",05399,의료법인일맥의료재단 강동인애가한방병원,2023.10.30 14:17,U,2022.11.1 0:01,한방병원,210808.2531,447406.5309,,,,,,,,,,,,,,,,
3230000,PHMA220193230034021200002,2019.3.19,,01,영업/정상,13,영업중,,,,,02-2202-2080,,,,"서울특별시 송파구 석촌호수로 61, 트리지움상가 201호 (잠실동)",05555,더바름치과병원,2023.6.14 15:03,U,2022.12.5 23:06,치과병원,207553.9182,445383.338,,,,,,,,,,,,,,,,
3210000,PHMA220193210034021200001,2019.7.8,,01,영업/정상,13,영업중,,,,,02-6247-8800,1009.2,,서울특별시 서초구 방배동 795번지 22호 창생빌딩,"서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)",06561,뉴민병원,2024.4.18 10:37,U,2023.12.3 22:00,병원,199040.3747,443425.0632,,,,,,,,,,,,,,,,
3100000,PHMA219893100034021200001,1989.8.14,,01,영업/정상,13,영업중,,,,,02-950-1114,41878.45,,,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",01757,인제대학교 상계백병원,2024.1.4 14:34,U,2023.12.1 0:06,종합병원,205488.9165,460701.0276,,,,,,,,,,,,,,,,
3240000,PHMA220203240033021200001,2020.8.12,,01,영업/정상,13,영업중,,,,,02-6428-7575,4871.34,,,"서울특별시 강동구 양재대로 1461, SC MEDI TOWER 6-13층 (길동)",05353,서울프라임한방병원,2024.3.28 11:05,U,2023.12.2 21:00,한방병원,212221.3425,448245.0198,,,,,,,,,,,,,,,,
3060000,PHMA220103060034021200002,2010.12.10,,01,영업/정상,13,영업중,,,,,02-577-9696,1988.4,,,"서울특별시 중랑구 봉화산로 194, 신아타운 4,5층 (신내동)",02076,로하스동서울요양병원,2024.4.23 13:22,U,2023.12.3 22:05,요양병원(일반요양병원),208295.0998,456014.9992,,,,,,,,,,,,,,,,
3120000,PHMA218853120033021200001,1974.3.25,,01,영업/정상,13,영업중,,,,,02-2228-0114,300677.02,,,서울특별시 서대문구 연세로 50-1 (신촌동),03722,연세대학교의과대학세브란스병원,2024.4.16 10:45,U,2023.12.3 23:08,종합병원,194584.9592,451381.5855,,,,,,,,,,,,,,,,
3230000,PHMA220193230034021200003,2019.5.17,,01,영업/정상,13,영업중,,,,,02-1899-8580,1950.6,,서울특별시 송파구 방이동 109번지 3호,"서울특별시 송파구 오금로 129, 지하1층~6층 (방이동)",05549,포레메디한방병원,2024.4.2 15:29,U,2023.12.4 0:04,한방병원,209623.2879,445505.2586,,,,,,,,,,,,,,,,
3070000,PHMA220223070034021200002,2022.6.27,,01,영업/정상,13,영업중,,,,,02-6953-9856,3167,,서울특별시 성북구 정릉동 674-3 그린존,"서울특별시 성북구 솔샘로1길 19, 그린존 1층~6층 (정릉동)",02708,플러스요양병원,2024.4.9 9:45,U,2023.12.3 23:01,요양병원(일반요양병원),200279.4594,456219.7975,,,,,,,,,,,,,,,,
3160000,PHMA220223160034021200001,2022.11.2,,01,영업/정상,13,영업중,,,,,02-2613-7000,3458,,,"서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 6,7층 (고척동)",08227,포그니병원,2024.3.18 13:44,U,2023.12.2 22:00,병원,187826.6982,443925.5247,,,,,,,,,,,,,,,,
3210000,PHMA220153210034021200002,2015.6.23,,05,제외/삭제/전출,15,전출,,,,,02-514-1249,,,서울특별시 서초구 서초동 1694번지 10호 김영학원사옥,"서울특별시 서초구 서초중앙로 148, 희성빌딩 5,6,9층 (서초동)",06605,염창환병원,2023.3.31 11:08,U,2022.12.4 0:02,병원,201136.2318,443651.5374,,,,,,,,,,,,,,,,
3180000,PHMA220113180034021200002,2011.6.30,,01,영업/정상,13,영업중,,,,,02-2678-8225,,,서울특별시 영등포구 영등포동4가 153번지 1호,서울특별시 영등포구 영신로34길 5 (영등포동4가),07301,덕수의료재단 서울브레인병원,2023.4.4 14:46,U,2022.12.4 0:06,병원,191256.0172,446425.9848,,,,,,,,,,,,,,,,
3230000,PHMA220223230034021200005,2022.12.22,,01,영업/정상,13,영업중,,,,,02-1533-1755,2364.01,,,"서울특별시 송파구 백제고분로 185, 2~9층 (잠실동)",05567,연세우리병원,2024.3.27 11:14,U,2023.12.2 22:09,병원,207649.5606,444734.8611,,,,,,,,,,,,,,,,
3080000,PHMA220093080033021200001,2009.8.14,,03,폐업,03,폐업,2023.10.12,,,,02-992-5200,718.54,142-883,"서울특별시 강북구 인수동 521-57, 59호",서울특별시 강북구 삼각산로 20 (수유동),01019,현인요양병원,2023.10.31 15:55,U,2022.11.1 0:02,요양병원(일반요양병원),200518.7313,459583.5849,,,,,,,,,,,,,,,,
3230000,PHMA220193230034021200001,2019.2.11,,01,영업/정상,13,영업중,,,,,02-1833-7037,3259.99,,서울특별시 송파구 가락동 36번지 1호 한미사랑병원,"서울특별시 송파구 중대로 191, 서울힐링요양병원 (가락동)",05704,서울힐링요양병원,2024.3.15 11:10,U,2023.12.2 23:07,요양병원(일반요양병원),211044.2011,444104.1946,,,,,,,,,,,,,,,,
3210000,PHMA219783210034021200001,1978.5.23,,01,영업/정상,13,영업중,,,,,02-570-8000,23954.43,,,서울특별시 서초구 헌릉로 260 (내곡동),06801,서울특별시어린이병원,2024.3.6 10:34,U,2023.12.3 0:09,병원,206059.8566,439252.1515,,,,,,,,,,,,,,,,
3200000,PHMA220183200033021200001,2018.10.1,,01,영업/정상,13,영업중,,,,,02-8787-119,1996.11,,서울특별시 관악구 봉천동 1673번지 17호,서울특별시 관악구 남부순환로 1867 (봉천동),08739,장튼위튼병원,2024.1.11 15:36,U,2023.11.30 23:03,병원,196154.9208,441961.8734,,,,,,,,,,,,,,,,
3090000,PHMA220023090033021200001,2002.9.4,,01,영업/정상,13,영업중,,,,,02-955-1772,1499.64,,서울특별시 도봉구 방학동 665-6,서울특별시 도봉구 도당로 51(방학동),01356,가화한방병원,2024.4.19 10:35,U,2023.12.3 22:01,한방병원,202961.8291,462271.5533,,,,,,,,,,,,,,,,
3080000,PHMA220193080033021200001,2019.10.15,,01,영업/정상,13,영업중,,,,,029879988,4773.59,,서울특별시 강북구 번동 105번지 1호,서울특별시 강북구 월계로 183 (번동),01231,꿈의숲요양병원,2024.3.20 9:34,U,2023.12.2 22:02,요양병원(일반요양병원),203895.66,457580.9999,,,,,,,,,,,,,,,,
3080000,PHMA220183080033021200001,2018.3.19,,01,영업/정상,13,영업중,,,,,02-982-7080,3195.78,,서울특별시 강북구 미아동 317번지 1호 서울컨벤션웨딩홀,"서울특별시 강북구 도봉로 161, 서울컨벤션웨딩홀 (미아동)",01171,강북휴요양병원,2024.3.20 9:31,U,2023.12.2 22:02,요양병원(일반요양병원),202314.8638,457867.6586,,,,,,,,,,,,,,,,
3240000,PHMA220183240033021200002,2018.12.14,,01,영업/정상,13,영업중,,,,,02-474-7570,5119.47,,서울특별시 강동구 천호동 421번지 4호 행복타워빌딩,"서울특별시 강동구 구천면로 202, 행복타워빌딩 B2,2,3,4,6층 (천호동)",05329,강동우리들요양병원,2024.4.5 17:31,U,2023.12.4 0:07,요양병원(일반요양병원),211174.7712,448678.9099,,,,,,,,,,,,,,,,
3240000,PHMA220163240033021200001,2016.1.27,,01,영업/정상,13,영업중,,,,,02-1588-7740,2924.26,,,"서울특별시 강동구 양재대로 1525, 명품빌딩 (천호동)",05316,올바른서울병원,2024.3.29 15:02,U,2023.12.4 0:01,병원,212416.5821,448882.4141,,,,,,,,,,,,,,,,
3060000,PHMA219833060034021200004,1983.8.22,,01,영업/정상,13,영업중,,,,,02-437-5011,6728.43,,서울특별시 중랑구 망우동 128-29 동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",02063,의료법인풍산의료재단동부제일병원,2024.4.23 13:23,U,2023.12.3 22:05,종합병원,209579.6123,455387.9969,,,,,,,,,,,,,,,,
3220000,PHMA220133220033021200009,20131206,,03,폐업,03,폐업,20190228,,,,1588-5153,,,서울특별시 강남구 신사동 514번지 16호,"서울특별시 강남구 도산대로 121, B6~B2, B1일부,지상1~5층, 6층일부, 7층~15층, (신사동)",06035,그랜드성형외과병원,2022.11.3 16:46,U,2021.11.1 0:05,병원,201850.6176,446131.5104,,,,,,,,,,,,,,,,
3150000,PHMA220123150037021200003,20121010,,01,영업/정상,13,영업중,,,,,1670-0124,,,서울특별시 강서구 등촌동 632-6 파인블루빌딩,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",07552,서울고든병원,2022.12.21 16:22,U,2021.11.1 22:03,병원,187974.2289,450369.1654,,,,,,,,,,,,,,,,
3140000,PHMA220063140033021200001,2006.8.10,,01,영업/정상,13,영업중,,,,,02-1899-2221,6503.11,,서울특별시 양천구 목동 404번지 3호,"서울특별시 양천구 신목로 120 (목동, 힘찬병원)",07999,힘찬병원,2024.4.16 11:27,U,2023.12.3 23:08,병원,189047.9417,446975.0685,,,,,,,,,,,,,,,,
3070000,PHMA219743070034021200001,2016.1.28,,01,영업/정상,13,영업중,,,,,1577-0083,96410.66,,서울특별시 성북구 안암동5가 126번지 1호 고려대병원,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",02841,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),2024.4.23 10:41,U,2023.12.3 22:05,종합병원,202313.8508,453871.2647,,,,,,,,,,,,,,,,
